標題,連結,內文,來源,時間
美國洪災現末日景象？颶風海倫狂襲59死 官員驚恐「聖經洪水來襲」,https://news.google.com/read/CBMiWkFVX3lxTE9JOElfTHVVQTRFR2ZvN3lBenJHZTlpTXhEUWlZX3VISTdPbVk5WFZOYWZISVp0T3Q4NXBiR0JROVpYUUtBSjNuek0zVkRDYjEwS3R4UDh2dG9MZ9IBX0FVX3lxTFBQaTdKSzUwam1QWGZSd092VDVfNDNGNE1RaTk2NlJZamN2Z0hjVGltYkYwN1BLMm5URW12YW1PbTlzclJXVUU4bGR4UDJfWDhhdF9WNXNUbVZMTHRWSE44?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"颶風海倫在美國時間26日晚間自佛羅里達州大灣區登陸，強風豪雨造成東南部多地洪災氾濫，截至28日死亡人數已經增加到59人，目前高達310萬戶電力中斷，地方緊急單位官員直呼「聖經洪水來襲」。

美國有線電視新聞網（CNN）報導，目前海倫已經從颶風等級減弱為時速35英里的後熱帶氣旋，儘管如此，其威力依舊造成東南部多地傳出災情，包含南卡羅來納、喬治亞、佛羅里達、北卡與維吉尼亞州共有至少59人罹難，而南卡最為嚴重，最近一次統計至少19人喪生，其中包含2名救災消防員。



美國國家氣象局在南卡格林維爾–史帕坦堡（Greenville-Spartanburg）辦公室28日表示，這是當地有史以來遇到最嚴重的災情。



北卡交通局28日表示，目前有超過400條道路因淹水或土石流維持封鎖。



另外，根據美國電力中斷網站（ PowerOutage.us），截至28日在南卡、喬治亞、北卡、佛羅里達與俄亥俄有超過310萬戶停電。



華盛頓郵報報導，北卡城鎮一夜之間面目全非，洪水泥濘將房屋連根拔起，土石流和暴漲河水切斷山區聯外道路。



氣象學家發出警告，洪水的威脅尚未結束。水壩瀕臨潰壩邊緣，迫使居民逃到地勢較高區域。邦坎郡（Buncombe County）緊急服務助理主任柯爾（Ryan Cole）說，「全郡遭遇到像聖經中描述的破壞」，直呼「當地遭遇聖經所述洪水侵襲」。

北卡州長庫柏（Roy Cooper）說，部分地區遭遇史上最嚴重洪災。
",經濟日報,2024-09-29
2024第47屆國際技能競賽頒獎典禮 (圖),https://news.google.com/read/CBMi-AFBVV95cUxNWHlYbU9VZWQ4Q09HYWl0UDhPSHdEUHBldE04SjlTRjNBOXJtcWV2Qzk0UGJVZmdWdzBQS280TFB1V0JkTEU1aFk4TjNHdXlOVHprMDZqYkNIMHZrQXJTWjRWck9yUG56TVk4bkFYZkJMamlRNVhKaUlYX2J4V3R6cEJmOGhzTEVYVUwzUGZCOXFNSGxoV0paT1FaZGQ2bm5lMVNpUHBSblRkd3A2X3licnVHTllGVlFIOC1VRWh5Zk1mQzdtNC0zVC00YzFaYUsycHFpN0VjSnpCNkhKVjlrbk5CLTlWVE9FWk5pd3dHODNMUzRFMU1PSw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"勞動部30日舉辦第47屆國際技能競賽頒獎典禮，行政院長卓榮泰（前排中）出席，親自頒發獎金給選手、培訓團體。
中央社記者楊淑閔攝 113年9月30日",Yahoo奇摩新聞,2024-09-30
瞄準大屯山 台電組國際地熱團隊展開探勘 (圖),https://news.google.com/read/CBMiugJBVV95cUxNd2twZzZ5eGFEZHFYTnJiSXlYQmhqMmRaeUdTZ2hVVG9nTjZmSnlYNU9pdmtSY014OFlfZGExQl9MajV2R1V4WmFQNG5QWUVNbGo2QWdrcFR1VFpaRk5ra3dPOU1PQkFUYUk5S3JaUjdOVGdFMUNQbmVlRkc3T1pZUFdKOE5pMVNkUzdGaWM1Mkpmb1QzLW5LR2hoWjJZOTdoTzR2VzVPbVl2dGNVT2NJRWgta0NyZkFsY2tRaUVWVVBEUlB3RFJmZkE2UUFkY2RoOWs1WTZXclQ3c2VwYTJHLU5SRDVYcnhydlRJQmJzcGRVRkg3ZFBxWUJwb2dRREVxU1VyYlRtTXRJdk85T2tUdzVncm5FUGpHb3FmT0FhZXhuWnBRX0l0YVhwSjhRSjA0R0hDdGNmTVRSdw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"台電1日下午舉行「大屯山地熱合作意向書」簽署儀式，由台電董事長曾文生（右3）與台汽電董事長黃順義（右2）等人共同參與簽署。（台電提供）
中央社記者曾智怡傳真 113年10月1日",Yahoo奇摩新聞,2024-10-01
颶風海倫襲美6州多地受災百多人死亡拜登緊急派千人救援川普搶先慰問| 國際,https://news.google.com/read/CBMiWkFVX3lxTE1CTUxaLS0xMmdDZ0JIY1hrRkhWSmcyZE1yNFJ4Wk1NRUhCc3U5b2ZWN2hXd1VfRDVSSmNHRFMzM3RmUUhyTm9kMjBhOGloOTdlRmp5cEttWGszUQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"颶風「海倫」( Helene )於當地時間 9 月 26 日晚間登陸美國東南部，對包含佛羅里達州、喬治亞州、北卡羅萊納州、南卡羅萊納州、田納西州以及弗吉尼亞州等六州造成嚴重影響，多地傳出嚴重的災情。共和黨總統候選人川普於 30 日前往受災地區慰問災民，民主黨總統候選人賀錦麗也表示，計畫在不干擾當地救援或恢復行動的情況下，盡早訪問災區。
根據《大紀元新聞網》報導，颶風「海倫」登陸至今，已經造成美國東南部地區 115 人死亡，許多民眾也因此失聯。截至目前為止，仍有許多地區處在道路封閉、手機信號不穩定狀態，部分居住在災區的民眾在未來數天內可能難以與外界或親朋好友取得聯繫，救難隊也很難向災民提供所需的幫助。
其中，北卡羅萊納州邦康縣縣長艾薇兒．平德 ( Avril Pinder ) 接受美國《有線電視新聞網》( CNN )訪問時表示，該縣範圍內大部分地區仍受斷電的影響，道路交通也幾乎中斷。該報導指出，光是在邦康縣內，就有 35 位民眾因海倫帶來的災害而死，失聯人數也超過 600 人。
北卡羅萊納州州長羅伊．庫珀 ( Roy Cooper ) 接受《 CNN 》訪問時強調，目前該州的搜救隊正在山區間穿梭，不斷尋找倖存者，參與救災的國民警衛隊士兵與飛行員人數也超過 500 人，派往災區的起重車、高水位消防車與飛機等總數也超過 200 輛。庫珀表示，海倫對北卡羅萊納州來說，是一場「史無前例的風暴」，相關單位必須啟動「前所未有」的應對措施，盡可能向民眾提供幫助。
美國氣象公司「AccuWeather 」發布統計數據，稱颶風「海倫」對美國帶來的經濟損失可能上看 1,450 億至 1,600 億美元。颶風「海倫」也憑藉著造成 115 人死亡的災害，成為近 50 年來對美國造成最致命威脅颶風的第 3 名，僅次於 2005 年 8 月的五級颶風「卡特里娜」( Katrina ) 與 2022 年的「伊恩」( Ian )。
面對颶風「海倫」帶來的巨大災害，美國總統拜登於當地時間 9 月 30 日舉辦的記者會上表示，聯邦政府將會支持所有受災地區，「援助正在路上」，承諾向災區提供包含水、食物、通訊與救生設備等物資。該報導指出，目前拜登已經與北卡羅萊納州、喬治亞州與佛羅里達州的官員進行交談，並派遣數千名工作人員前往受災區，為當地政府的救援行動提供幫助。
另一方面，川普則於 30 日拜訪喬治亞州的受災區，並前往當地一間被颶風摧毀的家具店進行慰問。川普的競選團隊表示，川普將與喬治亞州的官員進行會面，協助當地政府分發救災物資，並預計對當地民眾發表演講。原先在美國西部參加競選活動的賀錦麗也於 30 日緊急返回華盛頓，並在聯邦緊急事務管理局總部聽取關於颶風「海倫」的災情簡報。有白宮的官員表示，賀錦麗將會在不對當地的救援、恢復行動造成干擾的情況下，盡早前往受災地區進行慰問。
颶風海倫於美國當地時間 9 月 26 日晚間正式登陸佛州，包含佛州在內東南部各州都傳出嚴重的災情。   圖：翻攝自 @SiliconBassist X 帳號",Newtalk新聞,2024-10-01
颶風海倫重創美東南部64死 社區互助挺過難關,https://news.google.com/read/CBMiuwJBVV95cUxPdHBsVGhvMVNTNXR6UFNsajRCRGN0Z1VpY2xvN0ZkaTZOS0g4WTZDTkhnSm81VEU4aHphSFl2QzhueWt1b3Nzc19lWTBYQ09SLXljd0dRYlNlNkNrb01kQ1htUXctZGNPY2RXTlJhbFp4NXdJaUZXd3ZuUGtlcnJ4aXBoaUxyUmYwU1E2TzVIeGMtNDM3MlFrRXpVUDY5TXp1TkxYZng1cDd2SE9nX045SmZxdFo1SWZBelNsSWZydGZ5TjBsd215WjhSQjVNLXl5aUhwb1QwRmdQX2NIYTBmaEpYeDlKckZ0TzVSSFBHV0hJOEFIXy10RmRodXc4TkxMZ3NfaFc3RV9PQXBHXzNhR0ZwSm9YREpjWFV0alpaU2ZaTmJybDZKRnVmanRPa2ltdDdZSlFJSGR5MHM?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,4級颶風海倫在美國東南部肆虐，重創北卡州、田納西州等東南部各州，根據美聯社報導，目前已造成至少64人死亡。雖然海倫威力已大幅降低，但它肆虐過的傷痕依舊清晰。街道上一片狼藉，遍地瓦礫殘骸，幾乎整個社...,Yahoo奇摩新聞,2024-09-29
4級颶風海倫登陸佛羅里達！ 各地災情嚴重逾150萬戶停電、 26萬人撤離| 國際,https://news.google.com/read/CBMiWkFVX3lxTFBGVEp5NEFjRDhYZzFvSXZELTZhS3ZKVURGWlk0dU0zNUdlTDRXNDlhX0tSWndNT29zMVdid081NjhUOVktNnBGM3VnYkpDS2ZMcVZQa3BFSXAzZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"颶風海倫 ( Helene ) 於美國當地時間 26 日晚間，於佛羅里達州西北沿岸正式登陸，並對美國東南部帶來嚴重的災害。有美國媒體報導稱，美國國家颶風中心已經將海倫的強度上調至 4 級颶風等級，成為佛州觀測紀錄史上最強的颶風。截至目前為止，颶風海倫已經造成 3 人死亡，超過 150 萬戶家庭面臨停電的窘境，北卡羅萊納州也有 26 萬人受山洪爆發的影響，被迫先行撤離。
根據美國《有線電視新聞網》( CNN )報導，颶風海倫於 26 日晚間，在佛州的佩里市正式登陸，成為開始觀測紀錄以來，襲擊佛羅里達灣的最強颶風。報導稱，海倫被美國國家颶風中心定為 4 級颶風，平均風速可達每小時 140 英里 ( 相當於每秒風速 62.58 公尺 )，預計對佛州與鄰近地區帶來猛烈的風暴，甚至可能進一步造成美國東南部地區面臨大規模停電或洪水的災害。
該報導指出，美國依據薩菲爾 - 辛普森颶風風力等級將海倫定義為 4 級颶風，造成的災害會依颶風等級呈現指數級的增長。其中，第 4 級的颶風平均風力介於每小時 130 至 156 英里之間，不但可能把大部分房屋的屋頂吹走，少部分的房屋甚至可能在強風的吹襲下被破壞，樹木、電線杆等物品也可能會被風吹倒。遭遇 4 級颶風襲擊的地區，自來水與電力等服務可能被迫中斷數月之久，受災嚴重的地區甚至可能在未來的數周內都處於無法居住的狀態。
同時，佛州的塔拉赫西國家氣象局也罕見的發布極端風力警告，稱佛州境內部分地區很可能受到颶風眼牆的影響，瞬間風速超過每小時 115 英里，「與龍捲風警告相當」。該報導稱，受到颶風影響，北卡羅萊納州西部的阿什維爾市發布山洪警報，當地有 26 萬人收到警報後被迫撤離。報導引用美國國家水中心發布的警告表示，位於當地的斯瓦納諾阿河沿岸可能出現嚴重的洪水，呼籲居住在該地區的居民盡早撤離。
另一方面，與佛羅里達州接壤的喬治亞州也傳出了嚴重的災情。受到颶風海倫的影響，該州南部的朗茲縣傳出大規模的停電災情，超過 63,000 戶家庭面臨停電的危機，當地政府也發布通知，要求居民「就地避難」。該報導也引用美國「 PowerOutage 」網站公布的數據，稱截至美國東部時間 27 日凌晨 1 點 35 分為止，美國東南部總計有超過 150 萬戶家庭受到停電影響，其中有 128 萬戶位於佛州、 24 萬戶位於喬治亞州，北卡羅萊納州與南卡羅萊納州則分別有 1.7 萬與 2.3 萬戶家庭面臨停電。
為數百萬佛州居民提供電力的杜克能源公司，也對颶風海倫此次可能造成的損害表示擔憂。該公司的颶風部門主管 Todd Fountain 接受《 CNN 》訪問時表示，海倫很可能對佛州各地區的基礎設施造成嚴重的損害，進一步延長居民受停電所困的時間，「我們還無法確認颶風海倫會帶來多嚴重的災難」。
颶風海倫登陸美國佛州，對鄰近地區造成嚴重災害。   圖：翻攝自 @NHC_Atlantic X 帳號",Newtalk新聞,2024-09-27
颶風海倫襲美 逾64死,https://news.google.com/read/CBMiXEFVX3lxTFBMY041NkpoLWY1WWItR2NyQVlFeE4ybDZNd2IyazlfZFJwWjlSc0xRWUdzM2lnb0RoT0g5MGlBbkNqZ3JOY3RGbzVOQ1YtUnRNLVlaLXpnUnMwaktv0gFiQVVfeXFMTjJhNFNwZG1NN0pGZEItZFJxYUZ4bHVUVzhCNllYSi1UbV9ReDA4ZUkwU1hSajBjU3hYVmtCQ3Qybmp2Tjdvbk5vRFQ0NW5Gb19SN2N3cXFveDhfTk5tbm53aGc?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"


（路透）


4級颶風「海倫」（Helene）26日晚間以時速225公里的風速，在佛羅里達州大彎地區（Big Bend）登陸，侵襲佛州、喬治亞州、北卡羅來納州、南卡羅來納州、田納西州及維吉尼亞州等東南部各州，造成至少64人喪生，至少300萬用戶停電，災損估計在950億美元到1100億美元之間，恐將成為侵襲美國威力最強、損失最慘重的風暴之一。海倫27日已減弱為後熱帶氣旋，但持續在多州帶來豪雨，引發大規模洪水。圖為佛羅里達州馬蹄海灘（Horseshoe Beach）滿目瘡痍。（路透）
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法

自由時報版權所有不得轉載© 2024 The Liberty Times. All Rights Reserved.
",自由時報,2024-09-30
強烈颶風登陸佛州 美400萬戶停電,https://news.google.com/read/CBMiXEFVX3lxTE1faW5RUUFTMGJNdVVlaS1WclF1bmpuTURpZ2NhbmpWcEctRUFJd2FxZWd5d0FrRnZQelZiWGt6ZDI4cWw2VGFYRFRWdXZsYzdMSnhGcEVobkJtNlh30gFiQVVfeXFMTTMxdl9jMFViUWU0TTc4SFF4LWh4aXhqVWw4MzZCM2xlWGpMaklta0VVSWMtbDNWUjBMa1l4b1BEMWU5bDcxNC1aczVSZ1VSbUxmRC1laXliWHFua0VPa2xIM2c?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"


佛州薩尼貝爾島外海一艘小船翻覆，海岸防衛隊出動直升機救援船主與狗。（路透）
四級強烈颶風「海倫」26日晚間登陸美國佛州西北部，最大持續風速達每小時225公里，經一夜肆虐，27日進入喬治亞州時降級為熱帶風暴，但氣象當局持續警告狂風暴雨恐釀嚴重災害。據初步統計，颶風在佛州、喬治亞州、南卡羅來納州、北卡羅來納州已造成7人死亡、近400萬戶停電。（路透）
佛州沿海小鎮斯坦哈奇的淹水情況，當地居民稱未見過如此嚴重的洪水。（法新社）
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法

自由時報版權所有不得轉載© 2024 The Liberty Times. All Rights Reserved.
",自由時報,2024-09-28
「山陀兒」有兩個前身！ 兩颱風皆造成嚴重風災遭永久除名| 生活,https://news.google.com/read/CBMiWkFVX3lxTFByV2cwUlU2Ynh3WEZ4WlZRak5IUllsZXJNVzUzZVBxY3A5Si1CWVpjMUQyMmZwTzNyMVZUZDNWOTJvdmNtM3ZVcVlENVpXQ2hnUEFpb0prQm5pQQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"「山陀兒」颱風於今（28）日一早生成，而「山陀兒」颱風過去其實有兩個前身，包括，2006年的「榴槤颱風」，但因在菲律賓造成 1,400人傷亡而遭永久除名。後來改名為「山竹」後，在2018年對菲律賓和華南沿岸造成嚴重破壞，也遭除名，隔年改為「山陀兒」。
今年第18號颱風山陀兒，今日 8時的中心位置在北緯 18.5度，東經 125.4度，以每小時 4公里速度，向西進行。中心氣壓 998百帕，近中心最大風速每秒1 8公尺，瞬間最大陣風為每秒 25公尺，七級風平均暴風半徑 80公里（西北側 50公里、東北側 50公里、西南側 100公里、東南側 100公里）。
然而，山陀兒颱風的命名，是在2019年後才有的命名，它前面有兩個前身，最早叫「榴槤」颱風，不過，2006年在菲律賓造成 1,400人傷亡遭永久除名，隔年改名為「山竹」。2018年「山竹」颱風，又對菲律賓和華南沿岸造成嚴重破壞，香港整體風力更為 35年來最強，成史上最嚴重的風暴潮，讓「山竹」又被永久除名，隔年才有「山陀兒」颱風的命名。
事實上，氣象署曾說明，颱風的命名是由世界氣象組織颱風委員會成員提供，包括日本、美國、中國、香港、澳門等 14個國家及地區，各自提供 10個名字，總計140個名稱、分5組輪流。但每年委員會中都會討論跟檢討，若曾造成重大災害或有爭議的颱風名稱，就會被除名。
 ",Newtalk新聞,2024-09-28
海倫颶風來勢洶洶 美國佛州百萬戶停電,https://news.google.com/read/CBMioAJBVV95cUxNbFBYWTFPN2JNN3JxLTFHTjFDaERYcFVMNzJjQnoyd3FrcHNxQ1RCX3hEQlZFejNPRXdaNmUweEFEUVMtWVhZNWNHTnExcUtVNUZsTWlJb25JeTBLeDhHLXhyalJLTFhTRGpRTWV3a0tvZl9uc2c2WWIwT2I4UU1tM255SG1MaDcxMTdtbV81Mk1jQ2hhUy10UVAxbGc0YzhRTzRITXdTZGZjdkNxZUw4RFNiZ0d3MEFhMmR3cVdVMUppbUMyejU3c28zSVFmMXQzU1JkT0RMdFVlVm1ITHZ5RXBORGk5aTlSbmJLMVNPRHpFekdQOTdoQ3haajZBUFB3SEpWNGxuUnMzSXdaci1KWmRsaVYyWk84ZGFYdE56MGM?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"美國佛州正面臨颶風海倫侵襲，當地暴雨不斷，出現風暴潮。從佛州開始一路到維吉尼亞州，都宣布進入緊急狀態。儘管登陸之後，強度從四級降到一級，但目前已經有三人不幸罹難，佛州有百萬戶家庭無電可用，墨西哥沿岸城市，宣布緊急撤離。
記者在狂風暴雨中連線，背後電光閃爍，最後路燈斷電，一片漆黑。CNN報導，4級颶風海倫 登陸佛州後，威力雖已減弱為1級，但強勁風暴 仍在佛州各地釀災，包括吹倒路樹、電線桿。造成大面積洪水等，州長呼籲民眾 謹慎防範。佛州州長迪尚特：「這是個威力強大的風暴，現在絕對不是外出的好時機，因此 當佛羅里達人明早醒來時，我們很可能會出現生命損失，當然還有財產損失，人們將會因為這場風暴而失去家園。」
颶風海倫於當地時間 26號晚間11點左右，從佛州西北側海岸登陸，根據路透社報導，颶風最大風速達到每小時209公里。從國際太空站傳回的影像，顯示颶風結構龐大且紮實，恐成為致命性風災，各界防災不可掉以輕心。新聞主播「風災如此嚴重，以致一位緊急災難管理官員，開始教導民眾 在手臂或大腿上，寫下自己的姓名 與生日，便於在有需要的時候進行身分辨識。」
目前佛州已超過100萬戶斷電，喬治亞州、維吉尼亞州等地，也有近10萬人處於黑暗之中。海軍陸戰隊則投入受災嚴重的地區，展開救援。 新聞主播「佛州15個沿海社區，至少7.2萬人被告知撤離，許多機場都臨時關閉到周五，有1千架航班遭取消，2千架班機受影響延遲。」
緊急管理官員：「風災過後 請不要做危險的舉動，如果你需要幫助 我們會派人過去。」
資深氣象主播指出，海倫在經過亞特蘭大後，就會減弱為熱帶風暴，但在此之前，各地防災減災，仍要小心戒備。
更多 大愛新聞 報導：
4級颶風海倫登陸 美佛州戒慎防重災
颶風接連襲德州 志工關懷撫喪女慟",Yahoo奇摩新聞,2024-09-27
颶風海倫肆虐美國東南部 至少93死、數百失蹤 空拍看災後家園 小鎮成孤島,https://news.google.com/read/CBMiwwNBVV95cUxOaEtHSDMyeU1ZT2V3ZFZZZHN2aURjVk5RRXJtUU5SZTlQcW5UWmNJWlZYWXU5XzNSVDFNdlFaSUFnUUs2UGVhZHdEc1ZMQWdkTTdROS00QmlvV3F5ZHVOQ0M5R01rUlJPcUpKbXNQVWhjOXpkU1k4T2FXTV9KZU9EeFluaXNZckFhMHFiNVZrNWxrY19SdGEzaS0yLW1qV05nQlNBbGZ5UzdOeEhhRUVLZTN1RkpicUxaNzJVRExXb3lnX2piRmtial9YZXNTbUY1dXFUMjFkMmVpei1HaWh6NmliX2pDZ1BRS29LOEhXRm5SZVBfMl9DdGNwQXhGV0Rhb1NfeExjaXJoV19VUFR0bGJOeWxYZmwyN2o0X0o3NXlnSFE5MjZncUJPWGNaTDFWc09qMXZuWm56RHZLeUg2RmQ4eWpsQUVwV2I0bGpxTWVYWXVLQUR6TEdXR2RXbDJJWDFMYmYwZ0VQRkFfUE90VU1SZkdXeUl2S09XWmcyOUtQY2RVOEs5eW9lejhQemhNbzNCYzA5NDJIYVVrUFlxWlBCTjFYeHh6TlBEb3ZKQ0NoWDlwc09tUFV2emYtb0huZmNJ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"颶風海倫（Hurricane Helene）肆虐美國東南部，截至9月30日至少93死，光是北卡羅來納州就通報約600人失蹤，隨著救災行動持續進行中，官員擔心死亡人數恐再上升。佛羅里達州空拍畫面顯示，架高的屋舍被嚴重破壞，部分房屋幾成廢墟；北卡的艾西維爾（Asheville）小鎮成為一片汪洋，黃色的泥水淹沒道路、社區，交通、電力、通信等中斷，也讓該地形同「孤島」。
車輛泡在泥水中，民眾甚至嘗試從水流中拯救家具。北卡至少300條道路關閉，而西部道路目前全數封鎖，估計修復需花數月，與喬治亞州一起宣布進入「公共衛生緊急狀態」。美國能源部表示，至29日仍有270萬戶無電可用。
海倫持續帶來雨勢，雖然不至於加重當前的淹水災情，但會讓土壤含水過多，地表逕流增加。私人氣象預報服務公司AccuWeather氣象專家評估，海倫造成的災損估計在950億美元至1100億美元（約新台幣3兆元到3.4兆元）之間，可能是美國史上損害最嚴重的風災之一。",Yahoo奇摩新聞,2024-09-30
美東港口罷工恐掀「經濟海嘯」,https://news.google.com/read/CBMiWkFVX3lxTE5HZkEtTjdPeTd1TFpRbFJ2X1pzRVhmU0xOSG4wbXpvVTJEM1llTTItSmlRXzBxWU1FQ2JVWG9yWDNxa1BzOUN0dS0wVy1pbXdlOFdsakphYVNfQdIBX0FVX3lxTE4xcC1MQkdBR0dvM0NvV3hTcGFQc21RMzdjT28xeDFPQUZ1V2VJVUhRWjRZUjZjTV83cWtva1pxOXFjN1VFcnIzX0czb3k5b1l4WkVFRGNJb3FtM3NRdTNZ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"美國東岸和墨西哥灣港口碼頭工人的現行勞資合約即將在本月底到期，與資方的協商持續陷入僵局，罷工箭在弦上。產業專家警告，這場罷工除了每天可能造成數億美元的經濟衝擊，還將對汽車、製藥、醫療保健，以及農產品運輸等產業造成沉重壓力。

國際碼頭工人協會（ILA）和資方團體美國海事聯盟（USMA）之間的現行合約將於9月30日到期，各界愈來愈擔心從緬因州到德州的美國港口即將停擺。休士頓大學供應鏈和物流副教授基德說，「當全國有一半的港口可能關閉，對經濟的衝擊就是一場海嘯」。

他援引非營利研究公司Mitre的數據推估，光是紐約和紐澤西港罷工30天，每天的經濟影響就達6.4億美元。Mitre指出，休士頓港每天的經濟影響上看9,250萬美元，包括出口影響5,100萬美元、進口影響4,150萬美元。

基德說，罷工尤其可能衝擊汽車產業，包括汽車零組件及製造業。他點出巴爾的摩等東海岸港口的重要性，因為這是距離中西部汽車工業中心最近的港口，福特等汽車巨頭可能會感受到罷工的影響。

他也認為，罷工會影響來自中美洲和南美洲的蔬果運輸，牽連Dole等業者，並且波及短程貨運業者。

供應鏈分析公司Everstream根據美國港口壅塞和罷工的歷史數據推估，東部和墨西哥灣沿岸港口每關閉24小時，就會導致貨物積壓，可能需要多達七天才能消化完畢。

Everstream表示，除了汽車業外，農產品、製藥和醫療保健產業也可能受港口罷工影響。

情報解決方案主管沃伊茨克說：「製藥與醫療保健業仰賴時間敏感的供應鏈，所受影響可能最大，而且可能出現材料短缺，進而擾亂生產或患者安全。」

但Everstream認為零售業不會首當其衝，因為許多進口商已提前備貨備貨。

沃伊茨克說，「大多數公司都有大約3-4周的庫存，如果罷工的影響持續超過這個時間範圍，就會有供應中斷風險」。",經濟日報,2024-09-27
東加王國附近發生規模6.6地震 無引發海嘯威脅,https://news.google.com/read/CBMiWkFVX3lxTFBPdVlaNkhsY2s4blpQRm9sQVhqdlRMMkQySWNrbV9XT1pVZnd3ek8xdU1JMG1tYUR4ZmlGRTBXU0dpVlpSSEtoaVJBb0RtdDNMRTJiTFRsaTJGd9IBX0FVX3lxTE5mUG9WTEkxcHdnTlRJRDY4MUJub3JJNXNuN2JEVkpiNlEtbG91dFdjbHd6Nk4tSGt1QmtEc1B6dU00SUZodnJQZ01lRFZsTzh6M3BqRjZySTJZX3MwX2FN?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"美國地質調查所（United States Geological Survey）表示，東加王國附近今天發生規模6.6地震，沒有引發海嘯的威脅。
法新社報導，根據美國地質調查所，這起地震發生於當地時間上午9時5分，震源深度約10公里，震央在東加王國首都努瓜婁發（Nuku'alofa）東北方約321公里的海洋中。
東加王國尚未提供任何地震災損報告，太平洋海嘯警報中心（Pacific Tsunami Warning Centre）表示，「這次地震沒有引發海嘯的威脅」。
位於環太平洋火山帶（Pacific Ring of Fire）的東加王國經常發生地震，約有10萬人住在這個地勢較低的群島。",經濟日報,2024-10-02
東加王國附近發生規模6.6地震 無引發海嘯威脅,https://news.google.com/read/CBMiWkFVX3lxTFBPdVlaNkhsY2s4blpQRm9sQVhqdlRMMkQySWNrbV9XT1pVZnd3ek8xdU1JMG1tYUR4ZmlGRTBXU0dpVlpSSEtoaVJBb0RtdDNMRTJiTFRsaTJGd9IBX0FVX3lxTE5mUG9WTEkxcHdnTlRJRDY4MUJub3JJNXNuN2JEVkpiNlEtbG91dFdjbHd6Nk4tSGt1QmtEc1B6dU00SUZodnJQZ01lRFZsTzh6M3BqRjZySTJZX3MwX2FN?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"美國地質調查所（United States Geological Survey）表示，東加王國附近今天發生規模6.6地震，沒有引發海嘯的威脅。
法新社報導，根據美國地質調查所，這起地震發生於當地時間上午9時5分，震源深度約10公里，震央在東加王國首都努瓜婁發（Nuku'alofa）東北方約321公里的海洋中。
東加王國尚未提供任何地震災損報告，太平洋海嘯警報中心（Pacific Tsunami Warning Centre）表示，「這次地震沒有引發海嘯的威脅」。
位於環太平洋火山帶（Pacific Ring of Fire）的東加王國經常發生地震，約有10萬人住在這個地勢較低的群島。",經濟日報,2024-10-02
